procedurecode,description,price
DIAG750,SPUTUM M/C/S,4500
CONS004,CARDIOLOGIST FOLLOW UP,10147.31
PCD4254,PHYSIOTHERAPY SESSION,5000
DRG4282,ERYTHROMYCIN 250MG TAB,80
DIAG323,UREA - [SERUM],2000
DIAG1675,"HBSAG, SCREENING - [SERUM]",3000
DRG1437,ARTESUNATE 25MG/AMODIAQUINE 75MG,200
DRG4170,CIPROFLOXACIN 250MG TAB,150
DRG1060,DIHYDROARTEMISININ 40MG PIPERAQUINE PHOSPHATE 320MG,188
CONS019,GENERAL SURGEON CONSULTATION,15000
DIAG2052,XRAY LUMBOSACRAL AP/LAT,8000
DRG2571,OLOPATADINE EYE DROP,3500
DRG1127,AMOXICILLIN CLAVULANIC ACID 375MG TABLET,250
DRG2755,PROMETHAZINE TAB 25MG,10
DRG1390,BROMAZEPAM 1.5MG,90
DRG1249,AMOXICILLIN CLAVULANIC ACID 1.2MG INJECTION,2500
CONS015,ENT SPECIALIST CONSULTATION,15000
MED0087,HYOSCINE BUTYL BROMIDE 10MG INJECTION,700
DIAG329,URIC ACID - [SERUM],2000
DRG4147,CEFTAZIDIME 1G INJ,2500
DIAG760,THROAT SWAB FOR M/C/S,4500
DRG1631,COTRIMOXAZOLE 480MG TAB,60
DRG2024,GLIMEPIRIDE 4MG,200
DRG4151,CEFUROXIME 750MG INJ,1800
DRG1528,CHLORPHENIRAMINE INJ 4MG,150
DRG2897,SALICYLIC ACID OINTMENT,1000
DRG1283,MUPIROCIN CREAM,2000
DRG2940,TIZANIDINE 4MG,200
DIAG773,GENOTYPE SCREENING,2000
DRG2518,ORPHENADRINE/ASPIRIN/CAFFEINE,100
DIAG1977,XRAY CHEST PA VIEW,5000
DRG2816,ARTESUNATE/AMODIAQUINE 50MG/200MG,143
DRG2391,BENZYL BENZOATE LINIMENT 100MLS,1000
DRG2334,IVERMECTIN 3MG TAB,100
DRG4013,ACECLOFENAC 100MG,100
DRG2593,ORAL POLIO VACCINE,3000
DIAG1655,ABO BLOOD GROUPING AND RHESUS TYPING/ BLOOD GROUP - [EDTA -BLOOD],2000
DRG4196,CLOTRIMAZOLE VAGINAL CREAM,1500
DRG1243,ATENOLOL 50MG TAB,40
DRG1078,GLIMEPIRIDE 2MG TAB,200
DRG4672,PARACETAMOL DROP,500
DRG1365,BISOPROLOL 2.5MG,73
DRG1162,ANTAZOLINE 0.05%/ TETRAHYDROZOLINE 0.04% EYE DROP,3000
CONS044,ORTHOPAEDIC FOLLOW UP,8645.15
DRG1366,BISOPROLOL 5MG,40
PCD307,CAESERAN SECTION,180000
DRG1511,CETIRIZINE 10MG,50
DRG1918,PIROXICAM 20MG,50
CONS009,DERMATOLOGY CONSULTATION,15000
DRG3274,KETOTIFEN EYE DROP,3000
CONS048,PAEDIATRICIAN FOLLOW UP,8447.42
CONS051,PHYSIOTHERAPIST CONSULTATION,15000
DRG2289,LOSARTAN 100MG,80
DIAG1708,WIDAL TEST - [SERUM],2000
DRG1562,ARTHEMETER 180MG/LUMEFANTRINE 1080MG ORAL SUSPENSION,2000
DRG3181,VITAMIN A 1000IU,2000
DRG4682,PENTAVALENT VACCINE,5000
DRG2976,CINNARIZINE 25MG,100
PCD274,Normal Delivery,60000
MED0591,ANTACID TAB,70
DRG1335,BETAMETHASONE N CREAM,800
DRG2283,LOSARTAN 25MG TAB,80
DIAG686,BLOOD CULTURE (AEROBIC AND ANAEROBIC),8000
DIAG595,"PSA -PROSTATE SPECIFIC ANTIGEN, TOTAL - [SERUM]",10000
DIAG1660,ANTI HCV- SCREENING -[SERUM],3000
PCD135,FINE NEEDLE ASPIRATION,10000
DRG1289,BCG VACINE,5000
DRG1062,SPIRONOLACTONE 25MG,80
DRG1168,Benzyl benzoate + bismuth Oxide + Bismuth subgallate+ Hydrocortisone Suppository 33mg + 24mg + 59mg cream,800
DRG2248,LIQUID PARAFFIN,1000
DIAG1707,VDRL (RPR) - [SERUM],2000
DRG1422,CALCIUM LACTATE 300MG TAB,30
DRG2947,SODIUM CHROMOGLYCATE EYE DROPS,3000
DRG1382,BRIMONIDINE EYE DROP,3000
CONS063,UROLOGIST CONSULTATION,15000
PCD788,BLOOD TRANSFUSION RH +VE BLOOD WITH SET,70000
DRG2790,QUININE SYR 200MLS,2000
DRG1523,CHLOROQUINE 300MG TAB,250
DIAG425,HAEMOGLOBIN - [BLOOD],2000
DRG1196,ARTESUNATE/MEFLOQUINE 100/125MG,86
DRG4019,ACECLOFENAC/PARACETAMOL 100/500MG,100
DIAG013,ECHOCARDIOGRAPHY,15000
DRG4705,PNEUMOCOCCAL VACCINE,5000
DRG3064,TOBRAMYCIN EYE DROP,3000
DRG1988,FUROSEMIDE 40MG,70
PCD794,EAR SYRINGING -BILATERAL,10000
DRG2630,DIHYDROARTEMISININ 80MG PIPERAQUINE PHOSPHATE 640MG SUSPENSION,2000
CONS088,FAMILY MEDICINE PHYSICIAN CONSULTATION,15000
DRG1719,DICLOFENAC EYE DROP,1300
PCD240,CIRCUMCISION,8000
DRG4647,OPV IMMUNIZATION,5000
DRG4369,HEPATITIS B VACCINE,5000
DIAG1661,ANTI HCV -TOTAL ANTIBODIES TO HEPATITIS C VIRUS - [SERUM],3000
DIAG762,URETHRAL SWAB M/C/S,4500
DRG2227,LEVOFLOXACIN IV 500MG,1500
DIAG1849,SONO BREAST SCAN,5000
DRG2751,PROGUANIL 100MG TAB,32.5
DRG2559,OFLOXACIN 200MG TAB,150
DRG2708,PROPANOLOL 40MG,80
DRG1354,DEXAMETHASONE/GENTAMICIN/CLOTRIMAZOLE CREAM,800
DRG1411,ERGOTAMINE TARTRATE AND CAFFEINE,130
DIAG598,THYROID FUNCTION TEST(T3 T4 TSH)- [SERUM],15000
MED0064,AMPICILLIN CLOXACILLIN 125MG/5ML SUSPENSION,1500
DRG3005,NITRAZEPAM 5MG,140
DRG3159,SALBUTAMOL 2MG TAB,20
DRG3291,DICLOFENAC CREAM,1000
DRG3160,SALBUTAMOL INHALER,7000
DRG3056,TIMOLOL 0.5% EYE DROPS,3000
DRG1008,MULTIVITAMIN SYRUP,800
DRG2849,TRAMADOL 50MG,100
DRG1588,ARTESUNATE/SULFAMETHOXYPYRAZINE/PYRIMETHAMINE 200MG/500MG/25MG,528
DIAG221,CALCIUM - [SERUM],2000
DIAG1879,SONO TRANSVAGINAL,7000
CONS013,ENDOCRINOLOGY CONSULTATION,20000
DRG3161,SALBUTAMOL NEBULES 5MG/VIAL,1200
DIAG009,ECG (POST EXERCISE/STRESS TEST) OR 24 HOURS,70000
DRG1664,DAFLON 500MG,500
DRG2707,ATENOLOL 100MG,70
DRG2331,MEASLES VACCINE,5000
DRG4668,PARACETAMOL 150MG SUPPOSITORY,200
CONS028,INTERNAL MEDICINE PHYSICIAN REVIEW,10000
DRG4762,METHOCARBAMOL 500MG TABS,90
PCD904,OXYGEN THERAPY,8000
DRG2742,NORETHISTERONE 5MG,1577
DIAG211,BILIRUBIN (TOTAL) - [SERUM],2000
DIAG593,PROLACTIN - [SERUM],8000
DRG1897,CARBOXYMETHYLCELLULOSE 0.5%,3000
DRG4686,PROMETHAZINE HCL 25MG/ML INJECTION,150
DIAG764,URINE MICROSCOPY (FOR PARASITES),3000
DRG2382,KAOLIN SUSPENSION,1000
DRG1823,MULTIVITAMIN,15
DIAG382,URINE SUGAR (FASTING AND POST PRANDIAL),1500
DIAG241,CRP- C-REACTIVE PROTEIN - [SERUM],7000
DRG2669,PERMETHRIN CREAM 5%,1500
DRG4490,LABETALOL HCL 50MG INJECTION,1215
DIAG1865,SONO OBSTETRICS/PREG(1 TO 3 MONTHS),7000
DIAG767,WOUND SWAB M/C/S,5000
DIAG1961,XRAY CERVICAL SPINE AP/LAT,7000
DRG2061,GRISEOFLUVIN 500MG TAB,120
DRG1690,MEDROXYPROGESTERONE ACETATE 150MG INJ,2000
