procedure_code,procedure_description,benefit_group
drg1715,DIAMOX 250MG TAB,chronic medication
drg1718,DIAZEPAM 5MG TAB,non-chronic medications
drg1720,DICLOFENAC GEL,non-chronic medications
drg1722,DICLOFENAC SODIUM 100MG TAB,non-chronic medications
drg1724,DICLOFENAC SODIUM 75MG INJ,non-chronic medications
drg1729,DICYNONE 250MG TAB,non-chronic medications
drg1736,DILOXANIDE FUROATE 500MG TAB,chronic medication
drg1740,DIOVAN 80MG CAP,chronic medication
drg1742,DIPYRIDAMOL (PERSANTIN) 200MG CAP,chronic medication
drg1743,DISPERSIBLE ASPIRIN 75MG,chronic medication
drg1749,DOLONEUROBION TAB,non-chronic medications
drg1758,Doxazosin 4mg,chronic medication
drg1770,DUCOLAX TAB,non-chronic medications
drg1774,DYNAMOGEN LIQUID 10MLS,non-chronic medications
drg1852,ENALAPRIL TAB 10MG,chronic medication
drg1853,ENALAPRIL TAB 5MG,chronic medication
drg1858,ENCEPHABOL TAB,chronic medication
drg1859,ENDIX-G CREAM,non-chronic medications
drg1861,ENHANCIN 312MG/5ML SUSP,non-chronic medications
drg1862,ENHANCIN 375MG TAB,non-chronic medications
drg1863,ENHANCIN 625MG TAB,non-chronic medications
drg1880,ERYTHROMYCIN 125MG/5ML SUSP,non-chronic medications
drg1882,ERYTHROPOETIN 2000 UNIT INJ,non-chronic medications
drg1889,ESSENTIAL FORTE CAP,non-chronic medications
drg1890,ETHAMBUTOL 400MG TAB,non-chronic medications
drg1892,EURAX CREAM,non-chronic medications
drg1896,EVITOL 100MG TAB,non-chronic medications
drg1900,"EXFORGE (AMLODIPINE/VALSARTAN)
10MG/12.5MG/160MG TAB",chronic medication
drg1901,"EXFORGE (AMLODIPINE/VALSARTAN)
10MG/25MG/160MG TAB",chronic medication
drg1925,FEROGLOBIN BLOOD TONIC - 200ML,non-chronic medications
drg1930,FERROUS SULPHATE 200MG TAB,non-chronic medications
drg1946,FLEMMING 375MG TAB,non-chronic medications
drg1947,FLEMMING 625MG TAB,non-chronic medications
drg1949,FLIXONASE NASAL SPRAY,non-chronic medications
drg1950,FLIXOTIDE ACCUHALER 100MCG,chronic medication
drg1951,FLIXOTIDE ACCUHALER 50MCG,chronic medication
drg1954,Flu J syrup,non-chronic medications
drg1957,FLUCAMED CAP 50MG,non-chronic medications
drg1965,FLUOCINONIDE CREAM 35G,non-chronic medications
drg1968,FOLIC ACID 5MG TAB,non-chronic medications
drg1976,FRANOL TAB,chronic medication
drg1977,FRUSEMIDE 20MG INJ,chronic medication
drg1978,FRUSEMIDE 40MG TAB,chronic medication
drg1979,FULCIN SYRUP,non-chronic medications
drg1981,FULL STRENGTH DARROWS,non-chronic medications
drg1982,FUNBACT A CREAM,non-chronic medications
drg1992,FYBOGEL GRANULES,non-chronic medications
drg1997,Galvus 50mg,non-chronic medications
drg1998,GALVUS MET 1000/50MG,chronic medication
drg1999,GALVUS MET 850/50MG,chronic medication
drg2006,GELUSIL TAB,non-chronic medications
drg2011,GENTAMYCIN CREAM 15G,non-chronic medications
drg2012,GENTAMYCIN EAR/EYE DROP,non-chronic medications
drg2020,Gestomil cap,non-chronic medications
drg2021,GESTONE 100MG INJ,non-chronic medications
drg2022,GESTONE 50MG INJ,non-chronic medications
drg2038,GIVING SET,medical appliances/consumables
drg2040,GLUCOBAY 100MG,chronic medication
drg2041,GLUCOBAY 50MG,chronic medication
drg2043,GLUCOPHAGE 500MG TAB,chronic medication
drg2044,GLUCOPHAGE 850MG TAB,chronic medication
drg2051,GLUCOVANCE 500MG/2.5MG,chronic medication
drg2052,GLUCOVANCE 500MG/5MG,chronic medication
drg2055,GLYCERINE TRINITRATE 5MG TAB,chronic medication
drg2065,GRISEOFULVIN 125MG TAB,non-chronic medications
drg2067,GSUNATE 100MG TAB,non-chronic medications
drg2070,GVITHER SYRUP,non-chronic medications
drg2072,GYNO-BETNOSIL CREAM,non-chronic medications
drg2073,GYNO-BETNOSIL TAB,non-chronic medications
drg2080,HAEMACEL INFUSION,non-chronic medications
drg2082,HALFAN 100MG/5ML SUSP,non-chronic medications
drg2083,HALFAN 250MG TAB,non-chronic medications
drg2086,HALOPERIDOL 5MG TAB,chronic medication
drg2091,HEALER SUPPOSITORY,non-chronic medications
drg2095,"HEPARIN INJ 50,000 IU",chronic medication
drg2100,HISTAC (RANITIDINE) 150MG TAB,non-chronic medications
drg2101,HISTAC (RANITIDINE) 300MG TAB,non-chronic medications
drg2113,HYCOMYCIN EYE DROP,non-chronic medications
drg2116,HYDROCHLOROTHIAZIDE 25MG,chronic medication
drg2118,HYDROCODEINE 30MG TAB,non-chronic medications
drg2126,HYPOVASE 1MG TAB,chronic medication
drg2131,IBUPROFEN 200MG TAB,non-chronic medications
drg2132,IBUPROFEN 400MG TAB,non-chronic medications
drg2139,INDERAL 40MG TAB,chronic medication
drg2140,INDOMETHACINE CAP,non-chronic medications
drg2144,INTERFLOX CAP 500MG,non-chronic medications
drg2145,IRON DEXTRAN 2ML,non-chronic medications
drg2146,ISONIAZID 300MG TAB,non-chronic medications
drg2147,ISONIAZID SYRUP 120MLS,non-chronic medications
drg2148,ISOPTOCARPINE 4% EYE DROP,chronic medication
drg2149,ISORDIL 10MG TAB,chronic medication
drg2150,ISORDIL 5MG TAB,chronic medication
drg2175,JOINTACE PATCH,non-chronic medications
drg2189,KETOCONAZOLE 200MG TAB,non-chronic medications
drg2194,KETRAX (LEVAMISOLE ) 40MG TAB,non-chronic medications
drg2206,LACTULOSE SOLUTION 500MLS,non-chronic medications
drg2207,LAMISIL (TERBINAFINE) 250MG TAB,non-chronic medications
drg2211,LANTUS SOLOSTAR,chronic medication
drg2220,LDNIL (ROSUVASTATIN) 10MG,chronic medication
drg2228,LEVOFLOXACIN 500MG TAB,non-chronic medications
drg2240,LINCOMYCIN 500MG CAP,non-chronic medications
drg2250,LISINOPRIL 10MG TAB,chronic medication
drg2251,Lisinopril 10mg TEVA,chronic medication
drg2252,lisinopril 20mg (teva),chronic medication
drg2253,LISINOPRIL 20MG TAB,chronic medication
drg2254,LISINOPRIL 5MG TAB,chronic medication
drg2260,LOCASALENE CREAM 30G,non-chronic medications
drg2279,LORATIDINE 10MG TAB,non-chronic medications
drg2282,LORAZEPAM 2MG TAB,non-chronic medications
drg2283,LOSARTAN 25MG TAB,chronic medication
drg2289,Losartan potassium 100mg,chronic medication
drg2309,LYRICA (PREGABALIN) 150MG CAPS,chronic medication
drg2310,LYRICA (PREGABALIN) 25MG CAPS,non-chronic medications
drg2311,LYRICA (PREGABALIN) 75MG CAPS,non-chronic medications
drg2319,MANNITOL INFUSION,non-chronic medications
drg2324,Maxidex eye drop,non-chronic medications
drg2327,Maxitrol eye drop,non-chronic medications
drg2329,MAXIVISION CAP,non-chronic medications
drg2332,MEBEVERINE 135MG TAB,non-chronic medications
drg2334,IVERMECTIN MECTIZAN 3MG TAB,non-chronic medications
drg2367,Metoprolol 50mg,chronic medication
drg2368,METRONIDAZOLE 200MG TAB,non-chronic medications
drg2370,METRONIDAZOLE 400MG TAB,non-chronic medications
drg2423,MYCOTA CREAM 25G,non-chronic medications
drg2424,MYCOTA POWDER,non-chronic medications
drg2473,NEOMYCIN POWDER,non-chronic medications
drg2474,NEOPRESOL LOTION,chronic medication
drg2486,NEVAN EYE DROP,non-chronic medications
drg2487,NEVIRAPINE 200MG TAB,non-chronic medications
drg2498,NIFEDIPINE 20MG TAB,chronic medication
drg2502,NIMESULIDE 100MG TAB,non-chronic medications
drg2506,NITRAZEPAM 5MG TAB,non-chronic medications
drg2508,NITROFURANTOIN 100MG TAB,non-chronic medications
drg2516,NIZORAL TAB 200MG,non-chronic medications
drg2559,OFLOXACIN 200MG TAB,non-chronic medications
drg2562,OLANZAPINE 10MG TAB,chronic medication
drg2563,OLANZAPINE 5MG TAB,chronic medication
drg2571,Olopatadine Eye Drop,non-chronic medications
drg2574,OMEGA H3 CAP,non-chronic medications
drg2616,OSTEOCARE TAB,non-chronic medications
drg2632,PALUDRINE 100MG TAB,non-chronic medications
drg2639,PANFOR SR 1000mg,chronic medication
drg2640,PANFOR SR 500mg,chronic medication
drg2644,PARALDEHYDE INJ,chronic medication
drg2653,PEFLOXACINE 400MG TAB,non-chronic medications
drg2654,Penicillin eye ointment,non-chronic medications
drg2675,PHENOBARBITONE 30MG TAB,chronic medication
drg2678,PHENYTOIN 100MG  CAP,chronic medication
drg2697,PIROXICAM 20MG CAP,non-chronic medications
drg2698,PIROXICAM INJ 20MG,non-chronic medications
drg2715,POLYFORT SUSPENSION,non-chronic medications
drg2722,PRAVASTATIN 20MG,chronic medication
drg2723,PRAZIQUANTEL 600MG TAB,non-chronic medications
drg2729,PREDNISOLONE 5MG TAB,non-chronic medications
drg2731,PREGNACARE CAP,non-chronic medications
drg2733,PREGNYL 5000IU INJ,exclusions
drg2755,PROMETHAZINE TAB 25MG,non-chronic medications
drg2765,PULMICORT TURBOHALER,chronic medication
drg2783,PYRAZINAMIDE  TAB 500MG,non-chronic medications
drg2804,RANITIDINE 150MG TAB,non-chronic medications
drg2805,RANITIDINE 300MG TAB,non-chronic medications
drg2807,REALFLEX TAB 400mg,non-chronic medications
drg2834,CHEMOTHERAPY,cancer care
drg2856,RIFAMPICIN  CAP 300MG,non-chronic medications
drg2857,RIFAMPICIN 100MLS SYRUP,non-chronic medications
drg2858,RIFAMPICIN 60MLS SYRUP,non-chronic medications
drg2896,SALBUTAMOL TAB 4MG,chronic medication
drg2901,SANATOGEN MULTIVITAMIN GOLD,non-chronic medications
drg2902,SANATOGEN TAB FOR CHILDREN,non-chronic medications
drg2929,SIMVASTATIN 10MG,chronic medication
drg2932,SIMVASTATIN 40MG,chronic medication
drg2951,SOLUSET,medical appliances/consumables
drg2958,SPORANOX 100MG CAP,non-chronic medications
drg2974,STREPTOMYCIN INJ 1G,non-chronic medications
drg3018,TAMOXIFEN TAB 20MG,non-chronic medications
drg3044,TETRACYCLINE CAP 250MG,non-chronic medications
drg3046,Teva atorvastatin 10mg,chronic medication
drg3047,Teva Atorvastatin 20mg,chronic medication
drg3049,THIAPRIL,chronic medication
drg3055,THYROXINE TAB 100MCG,non-chronic medications
drg3077,TRANEXAMIC ACID 500MG INJ,non-chronic medications
drg3078,TRANEXAMIC ACID 500MG TAB,non-chronic medications
drg3082,TREVIA (SITAGLIPTIN 100MG),chronic medication
drg3165,VIAREX INHALER,chronic medication
drg3178,Visita plus cream,non-chronic medications
drg3191,VITAMIN C INJ,non-chronic medications
drg3251,Xalatan eye drop,non-chronic medications
drg3260,XYLOCAINE GEL,non-chronic medications
drg3263,XYLOCAINE SPRAY,non-chronic medications
drg3266,YEAST TAB,non-chronic medications
drg3272,ZADITEN 1MG TAB,non-chronic medications
drg3273,ZADITEN 2MG TAB,non-chronic medications
drg3274,ZADITEN EYE DROP,non-chronic medications
drg3296,ZINC TAB 50mg,non-chronic medications
drg3319,CENTRUM MULTIVITAMINS TAB,non-chronic medications
drg4059,AMIODARONE 150MG 3ML INJ,chronic medication
drg4083,ANKLE BRACE,medical appliances/consumables
drg4115,BLOOD GIVING SET,medical appliances/consumables
drg4122,BROMHEXINE 8MG TAB,non-chronic medications
drg4129,CADIOACE CAP,non-chronic medications
drg4165,CHORIGON INJ 5000IU,non-chronic medications
drg4185,CLINDAMYCIN 150MG CAP,non-chronic medications
drg4197,CLOXACILLIN 250MG CAP,non-chronic medications
drg4214,CYCLOPHOSPHAMIDE TAB 50MG,chronic medication
drg4231,DEXAMETHASONE 0 5MG TAB,non-chronic medications
drg4232,DEXAMETHASONE 1MG TAB,non-chronic medications
drg4254,DIHYDROARTEMISININ SUPPOSITORIES 40MG,non-chronic medications
drg4260,DITROPAN 5MG TAB,non-chronic medications
drg4291,EUCARDIC 12.5MG TAB,chronic medication
drg4292,EUCARDIC 25MG TAB,chronic medication
drg4293,EUCARDIC 3.125MG TAB,chronic medication
drg4306,FELODIPINE 10MG TAB,chronic medication
drg4331,FLUCONAZOLE INFUSION,non-chronic medications
drg4340,FLUVASTATIN LESCOL 40MG CAP,chronic medication
drg4349,GELOFUSINE INF 500ML,non-chronic medications
drg4355,GONAL F 75IU INJ,exclusions
drg4409,HYPOTEARS EYE DROP,non-chronic medications
drg4411,HYTRIN 2MG,chronic medication
drg4412,IBEX,non-chronic medications
drg4418,IKACLOMIN 50MG TAB,non-chronic medications
drg4425,INDAPAMIDE SR 1 5MG TAB,chronic medication
drg4429,INJ RABEPRAZOLE 20MG,non-chronic medications
drg4484,KNEE BRACE,medical appliances/consumables
drg4492,LACTIC ACID CAPS,non-chronic medications
drg4565,METHOTREXATE INJ 50MG,chronic medication
drg4567,METHYLPREDNISOLONE CREAM,non-chronic medications
drg4602,NALIDIXIC ACID 500MG TAB,non-chronic medications
drg4610,NEOMYCIN 500MG TAB,non-chronic medications
drg4613,NEOSTIGMINE 2 5MG INJ,chronic medication
drg4619,NEUROXICAM OINTMENT,non-chronic medications
drg4650,ORAL REHYDRATION SALTS,non-chronic medications
drg4660,PALUTHER 80MG INJ,non-chronic medications
drg4743,PYRIDOXINE 50MG TAB,non-chronic medications
drg4744,PYRIDOXINE SYR,non-chronic medications
drg4771,SCOTCH CAST,surgeries
drg4795,SOFRATULLE,medical appliances/consumables
drg4898,URINE BAG,medical appliances/consumables
drg4920,VERAPAMIL 80MG TAB,chronic medication
drg4927,VILLICIN BALM 25G,non-chronic medications
drg4949,VOLUMATIC SPACER DEVICE,medical appliances/consumables
drg4983,ZESTRIL 20MG TAB,non-chronic medications
drg4984,ZESTRIL 5MG TAB,non-chronic medications
med0019,ATENOLOL 25MG,chronic medication
med0021,TENORMIN 100MG,non-chronic medications
med0022,TENORMIN 50MG,non-chronic medications
med0024,SALBUTAMOL 2MG TAB VENTOLIN,chronic medication
med0038,AMPICILLIN CLOXACILLIN 90MG/0.6ML DROP,non-chronic medications
med0044,EXFORGE 5MG/160MG TAB (AMLODIPINE   VALSARTAN ),non-chronic medications
med0047,NEBIVOLOL 5MG,chronic medication
med0128,ADACEL POLIO VACCINE,non-chronic medications
med0170,AMINOPHYLLINE INJ 250MG,non-chronic medications
med0190,LABETALOL 100MG TAB,chronic medication
med0308,FLUCONAZOLE CREAM,non-chronic medications
med0311,ARTESUNATE 100MG TAB,non-chronic medications
med0330,Inj Omeprazole 40mg,non-chronic medications
med0343,Silodosin 8mg,chronic medication
med0344,Tab Citicoline 500MG,non-chronic medications
med0349,Back Slab,surgeries
med0418,Lisinopril 5MG (Teva),chronic medication
med0454,Glucometer,medical appliances/consumables
med0471,LISINOPRIL 20MG (TEVA),chronic medication
med0486,DIAMICRON 30MG,non-chronic medications
med0489,CLOPIDOGREL 75MG,chronic medication
med0499,EXFORGE 10MG/160MG,chronic medication
med0502,PANFOR SR 1000MG,chronic medication
med0515,COVERAM 5MG/10MG,chronic medication
med0520,AMOXYCILLIN 250MG/5ML,non-chronic medications
med0544,FENOFIBRATE 160MG,chronic medication
med0545,LEVEMIR FLEXPEN,chronic medication
med0559,Artemether inj. 80mg,non-chronic medications
physio11,Electrodes,medical appliances/consumables
physio22,Cervical Collar Rigid,surgeries
pcd6000,WALKING FRAME,physiotherapy
pcd6001,ARM SLING,medical appliances/consumables
pcd6002,INCISIONAL BIOPSY,surgeries
pcd6003,INTRA ARTICULAR INJECTION,chronic medication
bio0008,Csf Chloride,clinical pathology
bio0023,CLOTTING PROFILE,clinical pathology
bio0026,CATECHOLAMINES [BLOOD],clinical pathology
diag187,Albumin -  [CSF],clinical pathology
diag188,Albumin -  [Serum],clinical pathology
diag203,Apolipoproteins A1 -  [Serum],clinical pathology
diag204,Apolipoproteins A1/B -  [Serum],clinical pathology
diag216,Blood Sugar (Post Prandial),clinical pathology
diag219,BUN (Blood Urea Nitrogen) -  [Serum],clinical pathology
diag220,"BUN (Blood Urea Nitrogen) -  [Urine, 24hrs]",clinical pathology
diag221,Calcium -  [Serum],clinical pathology
diag228,Cholesterol (Total) -  [Serum],clinical pathology
diag282,"Microalbumin -  [Urine, spot]",clinical pathology
diag292,Potassium -  [Serum],clinical pathology
diag311,Sodium -  [Serum],clinical pathology
diag330,"Uric Acid -  [Urine,24Hrs]",clinical pathology
pro0009,PENTAVALENT IMMUNIZATION,immunizations
diag413,Bone Marrow Aspiration,surgeries
diag418,Reticulocyte Count,clinical pathology
diag432,Malaria QBC,clinical pathology
diag463,CK18 (Cyto Keratin) -  [Tissue],clinical pathology
diag464,CK8 (Cyto Keratin-Low Molecular Weight) -  [Tissue],clinical pathology
diag469,Cytology -  [Urine],cancer care
diag471,Cytology - [Ascitic fluid],clinical pathology
diag473,Cytology - [CSF],cancer care
diag475,Cytology - [Pleural fluid],cancer care
diag487,Histology,surgeries
diag518,Renal biopsy with PAS stain -  [Tissue],clinical pathology
diag578,"Hepatitis B Profile = HBsAg, Anti-HBsAg, Anti HBcAg -Total, Anti HBcAg -IgM, HBeAg, Anti-HBeAg",clinical pathology
diag1008,CD33 (myeloid marker) -  [Blood],cancer care
diag1029,CD99 (Mic-2)  -  [Tissue],cancer care
diag1136,EBV Antibody panel -  [Serum],clinical pathology
diag1142,EBV(VCA) -IgM antibodies to Viral Capsid Antigen of Epstein Barr Virus -  [Serum],clinical pathology
diag1152,Entamoeba Histolytica antibody -  [Serum],clinical pathology
diag1180,Folic acid -  [serum.],clinical pathology
diag1229,HCV-RNA Quantification (Viral load) -  [Plasma or serum],clinical pathology
diag1249,Histoplasma antibody -  [CSF],clinical pathology
diag1288,HSV 1 IgM antibodies to Herpes Simplex Virus 1  -  [Serum],clinical pathology
diag1289,HSV 2 IgG antibodies to Herpes Simplex Virus 2  -  [Serum],clinical pathology
diag1300,IgA  -  [CSF],clinical pathology
diag1305,IgG -  [CSF],clinical pathology
diag1307,IgG -  [Serum],clinical pathology
diag1309,IgM -  [CSF],clinical pathology
diag1347,Kappa Light Chains -  [Tissue],clinical pathology
diag1348,"Kappa Light Chains -  [Urine, 24 hours]",clinical pathology
diag1349,Kappa/Lambda light chains -  [Tissue],clinical pathology
diag1373,Leucocyte Common Antigen (CD45) by Immunohistochemistry -  [Tissue],clinical pathology
diag1374,Leukemia : inv(16) translocation  -  [Blood],cancer care
diag1375,Leukemia : t ( 8;21 ) -  [Bone Marrow],cancer care
diag1389,Lithium level   -  [Serum],clinical pathology
diag1506,PR - Progesterone receptor by Immunohistochemistry -  [Tissue],cancer care
diag1580,Swine Flu,clinical pathology
diag875,Antiphospholipid antibody (APA)- IgG -  [Serum],clinical pathology
diag876,Antiphospholipid antibody (APA)- IgM -  [Serum],clinical pathology
diag877,APA - IgG Antiphospholipid antibody  -  [Serum],clinical pathology
diag878,APA - IgM  Antiphospholipid antibody  -  [Serum],clinical pathology
diag904,BCL-2 Oncoprotein  -  [Tissue],cancer care
diag971,CD - TCR-Gamma Delta -  [Blood],clinical pathology
diag974,CD103 (Hairy cell marker) -  [Blood],cancer care
diag977,CD11c (Hairy cell/NHL Marker) -  [Blood],cancer care
diag978,CD13 (Myeloid cell marker) -  [Blood],cancer care
diag980,CD14 (Monocytic cell marker) -  [Blood],cancer care
diag985,CD16/56 (NK Cells) -  [Serum],cancer care
diag986,CD19 (Pan B Cell marker) -  [Blood],cancer care
diag987,CD2 (Pan T cell marker) -  [Blood],cancer care
diag992,CD21 (Pan B Cell marker) -  [Tissue],cancer care
diag993,CD22 (Pan B Cell marker) -  [Blood],cancer care
diag994,CD23 (CLL segregation marker) -  [Blood],cancer care
diag995,CD25 (Hairy cell NHL marker) -  [Blood],cancer care
diag700,CATHETER TIP M/C/S,clinical pathology
diag701,Cell count -  [CSF],clinical pathology
diag704,CSF M/C/S,clinical pathology
diag749,Smear examination - [Any Sample],clinical pathology
diag767,Wound Swab M/C/S,clinical pathology
cli0005,24 Hour Ambulatory Ecg,advanced and complex investigations
cli0006,24 Hour Ambulatory Electroencephalography (Eeg),advanced and complex investigations
cli0010,Adenoidectomy - Double Room,surgeries
cli0073,ENEMA SAPONIS,x-rays and contrast studies
cli0084,LOCAL ANAESTHESIA,surgeries
cli0105,ANAL FISTULECTOMY REPAIR,surgeries
cli0139,BLEEDING TIME,clinical pathology
cli0148,Physical Examination,consultation general
diag355,HIV (P24) ANTIGEN,clinical pathology
diag370,Reducing substances -  [Stool],clinical pathology
diag371,Reducing substances -  [Urine],clinical pathology
diag380,Urinalysis,clinical pathology
diag1689,Pregnancy test -  [Urine],clinical pathology
diag1714,Mammography,advanced and complex investigations
diag1755,MRI Lumbosacral Spine,advanced and complex investigations
diag1782,MRI Whole Spine,advanced and complex investigations
diag1801,EEG (Electroencephalogram),advanced and complex investigations
diag1802,EMG (Electromyogram),advanced and complex investigations
diag1803,Evoked Potential,advanced and complex investigations
oph0002,RETINOSCOPY,ophthalmic care
oph0022,Zaditen Eye Drop,non-chronic medications
opt182,Diode Laser Cycloablation,surgeries
opt184,Syringing And Probing,surgeries
opt186,Tumor Excision From Lid,surgeries
opt199,Granuloma Excision,surgeries
opt88,Hypomer Gel,non-chronic medications
drg1114,Amlodipine 2.5mg tab,chronic medication
drg5004,TADALAFIL 10MG/TAB,chronic medication
out0003,REFUND,consultation general
pcd240,Circumcision,neonatal services
pcd39,Hydrocoelectomy,surgeries
pcd4054,Cavernospongiosum Shunt,surgeries
pcd4068,Chondromectomy,surgeries
pcd4091,Cystic Hygroma Excision,surgeries
pcd4098,Decortication,surgeries
pcd4106,Dissection Of Femoral Triangle,surgeries
pcd4108,Drainage Of Septic Arthritis,surgeries
pcd4115,Encephalocoele Excision,surgeries
pcd4127,Excision Of Vaginal Septum,surgeries
pcd4178,Intussusception Operation,surgeries
pcd4230,Oesophagostomy,surgeries
pcd4244,Pelvic Evisceration,surgeries
pcd4259,Pleurectomy,surgeries
pcd4277,Release Of Chordae,surgeries
pcd4280,Renal Cystectomy,surgeries
pcd4281,Repair Of Gastric Lacerations,surgeries
pcd4283,Repair Of Oesophageal Lacerations,surgeries
pcd4284,Repair of ruptured  uterus,surgeries
