Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
DRG1421,CALCIUM GLUCONATE INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1422,CALCIUM LACTATE 300MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1449,CAPTOPRIL 12.5MG,Chronic Medication,,,,,,,,,,,,,,
DRG1453,CARBAMAZEPINE (TEGRETOL) 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1457,CARDIOACE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1460,CARVEDILOL 12.5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1461,CARVEDILOL 25MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1473,CEFIXIME (CEFINE) 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1474,CEFIXIME (CEFINE) SUSP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1484,CELEBREX CAP 200MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1519,CHLORAMPHENICOL EYE OINTMENTS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1524,CHLOROQUINE INJ 200MG/5ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1531,CHLORPROPAMIDE 250MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1534,CHYMORAL TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1536,CICATRIN POWDER,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1538,CIKLAVIT 200MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1559,CLARITHROMYCIN 500MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1575,CLOXACILLIN 250MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1576,CLOBETASOL CREAM 45G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1588,CO-ARINATE ADULT TAB (ACT-ANTIMALARIAL),Non-Chronic Medications,,,,,,,,,,,,,,
DRG1589,CO-ARINATE JUNIOR (ACT-ANTIMALARIAL),Non-Chronic Medications,,,,,,,,,,,,,,
DRG1595,COD LIVER OIL CAP 525MG (7SEAS),Non-Chronic Medications,,,,,,,,,,,,,,
DRG1596,COD LIVER OIL SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1598,CO-DIOVAN 160/12.5MG,Chronic Medication,,,,,,,,,,,,,,
DRG1602,CO-DIOVAN 80/25MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1608,COLIPAN 10MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1610,COLLOMACK SOLUTION 10ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1627,CO-TENIDONE 100/25MG,Chronic Medication,,,,,,,,,,,,,,
DRG1628,CO-TENIDONE 50/12.5MG,Chronic Medication,,,,,,,,,,,,,,
DRG1648,CRYSTALLINE PENICILLIN 1MU,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1649,CUSICROM EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1651,CYCLOGEST 400MG PESSARY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1657,CYPRIGOLD (CYPROHEPTADINE),Non-Chronic Medications,,,,,,,,,,,,,,
DRG1687,DEEP HEAT SPRAY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1690,DEPO  PROVERA 150MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1693,DEQUADIN LOZENGES,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1696,DERMOVATE CREAM 25G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1699,DETRUSITOL XL 4MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1715,DIAMOX 250MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1718,DIAZEPAM 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1720,DICLOFENAC GEL,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1722,DICLOFENAC SODIUM 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1724,DICLOFENAC SODIUM 75MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1729,DICYNONE 250MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1736,DILOXANIDE FUROATE 500MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1740,DIOVAN 80MG CAP,Chronic Medication,,,,,,,,,,,,,,
DRG1742,DIPYRIDAMOL (PERSANTIN) 200MG CAP,Chronic Medication,,,,,,,,,,,,,,
DRG1743,DISPERSIBLE ASPIRIN 75MG,Chronic Medication,,,,,,,,,,,,,,
DRG1749,DOLONEUROBION TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1758,Doxazosin 4mg,Chronic Medication,,,,,,,,,,,,,,
DRG1770,DUCOLAX TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1774,DYNAMOGEN LIQUID 10MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1852,ENALAPRIL TAB 10MG,Chronic Medication,,,,,,,,,,,,,,
DRG1853,ENALAPRIL TAB 5MG,Chronic Medication,,,,,,,,,,,,,,
DRG1858,ENCEPHABOL TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1859,ENDIX-G CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1861,ENHANCIN 312MG/5ML SUSP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1862,ENHANCIN 375MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1863,ENHANCIN 625MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1880,ERYTHROMYCIN 125MG/5ML SUSP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1882,ERYTHROPOETIN 2000 UNIT INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1889,ESSENTIAL FORTE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1890,ETHAMBUTOL 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1892,EURAX CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1896,EVITOL 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1900,"EXFORGE (AMLODIPINE/VALSARTAN)
10MG/12.5MG/160MG TAB",Chronic Medication,,,,,,,,,,,,,,
DRG1901,"EXFORGE (AMLODIPINE/VALSARTAN)
10MG/25MG/160MG TAB",Chronic Medication,,,,,,,,,,,,,,
DRG1925,FEROGLOBIN BLOOD TONIC - 200ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1930,FERROUS SULPHATE 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1946,FLEMMING 375MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1947,FLEMMING 625MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1949,FLIXONASE NASAL SPRAY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1950,FLIXOTIDE ACCUHALER 100MCG,Chronic Medication,,,,,,,,,,,,,,
DRG1951,FLIXOTIDE ACCUHALER 50MCG,Chronic Medication,,,,,,,,,,,,,,
DRG1954,Flu J syrup,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1957,FLUCAMED CAP 50MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1965,FLUOCINONIDE CREAM 35G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1968,FOLIC ACID 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1976,FRANOL TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1977,FRUSEMIDE 20MG INJ,Chronic Medication,,,,,,,,,,,,,,
DRG1978,FRUSEMIDE 40MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1979,FULCIN SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1981,FULL STRENGTH DARROWS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1982,FUNBACT A CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1992,FYBOGEL GRANULES,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1997,Galvus 50mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1998,GALVUS MET 1000/50MG,Chronic Medication,,,,,,,,,,,,,,
DRG1999,GALVUS MET 850/50MG,Chronic Medication,,,,,,,,,,,,,,
DRG2006,GELUSIL TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2011,GENTAMYCIN CREAM 15G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2012,GENTAMYCIN EAR/EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2020,Gestomil cap,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2021,GESTONE 100MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2022,GESTONE 50MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2038,GIVING SET,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG2040,GLUCOBAY 100MG,Chronic Medication,,,,,,,,,,,,,,
DRG2041,GLUCOBAY 50MG,Chronic Medication,,,,,,,,,,,,,,
DRG2043,GLUCOPHAGE 500MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2044,GLUCOPHAGE 850MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2051,GLUCOVANCE 500MG/2.5MG,Chronic Medication,,,,,,,,,,,,,,
DRG2052,GLUCOVANCE 500MG/5MG,Chronic Medication,,,,,,,,,,,,,,
DRG2055,GLYCERINE TRINITRATE 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2065,GRISEOFULVIN 125MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2067,GSUNATE 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2070,GVITHER SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2072,GYNO-BETNOSIL CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2073,GYNO-BETNOSIL TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2080,HAEMACEL INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2082,HALFAN 100MG/5ML SUSP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2083,HALFAN 250MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2086,HALOPERIDOL 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2091,HEALER SUPPOSITORY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2095,"HEPARIN INJ 50,000 IU",Chronic Medication,,,,,,,,,,,,,,
DRG2100,HISTAC (RANITIDINE) 150MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2101,HISTAC (RANITIDINE) 300MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2113,HYCOMYCIN EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2116,HYDROCHLOROTHIAZIDE 25MG,Chronic Medication,,,,,,,,,,,,,,
DRG2118,HYDROCODEINE 30MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2126,HYPOVASE 1MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2131,IBUPROFEN 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2132,IBUPROFEN 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2139,INDERAL 40MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2140,INDOMETHACINE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2144,INTERFLOX CAP 500MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2145,IRON DEXTRAN 2ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2146,ISONIAZID 300MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2147,ISONIAZID SYRUP 120MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2148,ISOPTOCARPINE 4% EYE DROP,Chronic Medication,,,,,,,,,,,,,,
DRG2149,ISORDIL 10MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2150,ISORDIL 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2175,JOINTACE PATCH,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2189,KETOCONAZOLE 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2194,KETRAX (LEVAMISOLE ) 40MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2206,LACTULOSE SOLUTION 500MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2207,LAMISIL (TERBINAFINE) 250MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2211,LANTUS SOLOSTAR,Chronic Medication,,,,,,,,,,,,,,
DRG2220,LDNIL (ROSUVASTATIN) 10MG,Chronic Medication,,,,,,,,,,,,,,
DRG2228,LEVOFLOXACIN 500MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2240,LINCOMYCIN 500MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2250,LISINOPRIL 10MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2251,Lisinopril 10mg TEVA,Chronic Medication,,,,,,,,,,,,,,
DRG2252,lisinopril 20mg (teva),Chronic Medication,,,,,,,,,,,,,,
DRG2253,LISINOPRIL 20MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2254,LISINOPRIL 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2260,LOCASALENE CREAM 30G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2279,LORATIDINE 10MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2282,LORAZEPAM 2MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2283,LOSARTAN 25MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2289,Losartan potassium 100mg,Chronic Medication,,,,,,,,,,,,,,
DRG2309,LYRICA (PREGABALIN) 150MG CAPS,Chronic Medication,,,,,,,,,,,,,,
DRG2310,LYRICA (PREGABALIN) 25MG CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2311,LYRICA (PREGABALIN) 75MG CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2319,MANNITOL INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2324,Maxidex eye drop,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2327,Maxitrol eye drop,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2329,MAXIVISION CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2332,MEBEVERINE 135MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2334,IVERMECTIN MECTIZAN 3MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2367,Metoprolol 50mg,Chronic Medication,,,,,,,,,,,,,,
DRG2368,METRONIDAZOLE 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2370,METRONIDAZOLE 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2423,MYCOTA CREAM 25G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2424,MYCOTA POWDER,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2473,NEOMYCIN POWDER,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2474,NEOPRESOL LOTION,Chronic Medication,,,,,,,,,,,,,,
DRG2486,NEVAN EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2487,NEVIRAPINE 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2498,NIFEDIPINE 20MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2502,NIMESULIDE 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2506,NITRAZEPAM 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2508,NITROFURANTOIN 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2516,NIZORAL TAB 200MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2559,OFLOXACIN 200MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2562,OLANZAPINE 10MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2563,OLANZAPINE 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2571,Olopatadine Eye Drop,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2574,OMEGA H3 CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2616,OSTEOCARE TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2632,PALUDRINE 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2639,PANFOR SR 1000mg,Chronic Medication,,,,,,,,,,,,,,
DRG2640,PANFOR SR 500mg,Chronic Medication,,,,,,,,,,,,,,
DRG2644,PARALDEHYDE INJ,Chronic Medication,,,,,,,,,,,,,,
DRG2653,PEFLOXACINE 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2654,Penicillin eye ointment,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2675,PHENOBARBITONE 30MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2678,PHENYTOIN 100MG  CAP,Chronic Medication,,,,,,,,,,,,,,
DRG2697,PIROXICAM 20MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2698,PIROXICAM INJ 20MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2715,POLYFORT SUSPENSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2722,PRAVASTATIN 20MG,Chronic Medication,,,,,,,,,,,,,,
DRG2723,PRAZIQUANTEL 600MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2729,PREDNISOLONE 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2731,PREGNACARE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2733,PREGNYL 5000IU INJ,Exclusions,,,,,,,,,,,,,,
DRG2755,PROMETHAZINE TAB 25MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2765,PULMICORT TURBOHALER,Chronic Medication,,,,,,,,,,,,,,
DRG2783,PYRAZINAMIDE  TAB 500MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2804,RANITIDINE 150MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2805,RANITIDINE 300MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2807,REALFLEX TAB 400mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2834,CHEMOTHERAPY,Cancer Care,,,,,,,,,,,,,,
DRG2856,RIFAMPICIN  CAP 300MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2857,RIFAMPICIN 100MLS SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2858,RIFAMPICIN 60MLS SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2896,SALBUTAMOL TAB 4MG,Chronic Medication,,,,,,,,,,,,,,
DRG2901,SANATOGEN MULTIVITAMIN GOLD,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2902,SANATOGEN TAB FOR CHILDREN,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2929,SIMVASTATIN 10MG,Chronic Medication,,,,,,,,,,,,,,
DRG2932,SIMVASTATIN 40MG,Chronic Medication,,,,,,,,,,,,,,
DRG2951,SOLUSET,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG2958,SPORANOX 100MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2974,STREPTOMYCIN INJ 1G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3018,TAMOXIFEN TAB 20MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3044,TETRACYCLINE CAP 250MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3046,Teva atorvastatin 10mg,Chronic Medication,,,,,,,,,,,,,,
DRG3047,Teva Atorvastatin 20mg,Chronic Medication,,,,,,,,,,,,,,
DRG3049,THIAPRIL,Chronic Medication,,,,,,,,,,,,,,
DRG3055,THYROXINE TAB 100MCG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3077,TRANEXAMIC ACID 500MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3078,TRANEXAMIC ACID 500MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3082,TREVIA (SITAGLIPTIN 100MG),Chronic Medication,,,,,,,,,,,,,,
DRG3165,VIAREX INHALER,Chronic Medication,,,,,,,,,,,,,,
DRG3178,Visita plus cream,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3191,VITAMIN C INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3251,Xalatan eye drop,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3260,XYLOCAINE GEL,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3263,XYLOCAINE SPRAY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3266,YEAST TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3272,ZADITEN 1MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3273,ZADITEN 2MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3274,ZADITEN EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3296,ZINC TAB 50mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3319,CENTRUM MULTIVITAMINS TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4059,AMIODARONE 150MG 3ML INJ,Chronic Medication,,,,,,,,,,,,,,
DRG4083,ANKLE BRACE,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG4115,BLOOD GIVING SET,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG4122,BROMHEXINE 8MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4129,CADIOACE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4165,CHORIGON INJ 5000IU,Non-Chronic Medications,,,,,,,,,,,,,,
